Disponibilité,Carrosserie,Garantie,Nombre de places,Nombre de portes,Nombre de cylindres,Energie,Puissance fiscale,Puissance (ch.din),Couple,Cylindrée,Boîte,Nombre de rapports,Transmission,Longueur,Largeur,Hauteur,Volume du coffre,0-100 Km/h,Vitesse maxi,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,ABS,Airbags,Anti-démarrage électronique,Contrôle de pression des pneus,Fixations ISOFIX,Anti-patinage,Aide au stationnement,Assistance au freinage,Alerte de franchissement de ligne,Direction assistée,Régulateur de vitesse,Limiteur de vitesse,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Lave Phares,Phares,Autoradio,Connectivité,Ecran central,Accoudoirs,Appuis têtes arrières,Finition intérieure,Pommeau de levier de vitesse,Sellerie,Sièges,Sièges réglables en hauteur,Tapis de sol,Vitres,Volant,Volant réglable,Bouton Start & Stop,Climatisation,Fermeture centralisée,Ordinateur de bord,Système Start & Stop,Rétroviseurs extérieurs,Rétroviseur intérieur,Vitres électriques,prix,description,Peinture,Aide au maintien dans la voie,Boîte à gants réfrigérée,Rideau de benne,Stores pare-soleil,Kit rangement,Freinage,Voiture populaire,Coffre à bagages,Préparation pour téléphone,Kit sécurité,Stabilisateur de vent latéral,DSC,Poignées de portes,Spoiler arrière,Affichage tête haute,Train roulant,Charge utile,Arceau de benne,Version pays chauds,Détecteur de fatigue,Fermeture assistée des portes,Nombre de moteurs électriques,Autonomie électrique WLTP,Contrôle de stabilité anti-retournement,Allumage automatique des feux,Contrôle adaptatif de la charge,Volume utile,Aide au démarrage en côte,Calandre,Pack nuit,Toit,Puissance avec overboost (ch.din),Assistant de feux de route,Conduite autonome,Surface de chargement,Pédaliers,Volume du coffre maximal,Éclairage d'accompagnement,Boulons de roues protégés,Baguettes extérieures d'encadrement des vitres,Boule d'attelage,Kit fumeurs,4 roues directrices,Surveillance d’angle mort,Modes de conduite,Différentiel autobloquant,Clé intelligente,Cloison entre cabine et compartiment arrière,Temps de recharge normale,Instrumentation digitale,Suspension,Batterie,Terrain Response,Alerte de circulation transversale,Ciel de pavillon,Pneumatiques runflat,Kit éclairage,Marchepieds latéraux,Reconnaissance des panneaux,Frein de stationnement,Détection des piétons,Tableau de bord,Barre stabilisatrice,Puissance électrique,Caméra d'angle mort,Emissions de CO2,Seuils de portes,Couple électrique,Dynamic Response,Lumières d'ambiance,Alimentation électrique,Système de descente en côte,Carte mains libres,Navigation,Temps de recharge rapide,Pack aérodynamique M,Alarme antivol,Détecteur de pluie,Contrôle du roulis de la remorque,Barres de toit,Consommation électrique WLTP,Volume du coffre avant,Kit carrosserie,Sorties d’échappement
Sur commande,SUV,3 ans,7,5,4,Essence,16CV,252CH,370nm1600tr/min,1984CM³,Automatique,8,Intégrale,5063mm,1970mm,1741mm,770L,6.3s,250KM/H,7.4L/100 km,5.2L/100 km,6L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Audi Parking System Plus,,,Dynamique,,,,,Feux de jour | Avant | Arrières,En aluminium | 20'' | 5 branches,,Full LED | Audi Matrix LED,17 haut-parleurs | Haut-parleurs Bang & Olufsen | MMI Navigation Plus | Commandes au volant | 730 watts,USB | Android Auto | Apple Carplay | Audi Music Interface | Bluetooth,Tactile | 10.25 pouces,Avant | Arrière,3,Aluminium brossé,Cuir,Cuir | Valcona,Électriques | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Velours,Teintées | Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,430 000 DT TTC,Audi Q745 TFSI Quattro  S-Line 7 places BVA,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Cache Bagages,,Triangle de présignalisation,,,,,,,,,,,Soft close,,,,,,,Audi hold assist,,,Panoramique | En verre,,,,,,,,,Chrome | Pack brillance,,,,,Audi Drive Select,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',Adaptive air suspension,,,,Noir,,,,,,,,,,,,Aluminium | Eclairés,,,LED | 30 Couleurs,,,,,,,,,,Aluminium,,,S-line,
Sur commande,SUV,3 ans,5,5,6,Essence | Hybride léger,23CV,340CH,500nm1370tr/min,2995CM³,Automatique,8,Intégrale,4986mm,1995mm,1705mm,,6.3s,245KM/H,11.6L/100 km,7.7L/100 km,9.1L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,AFU,,Dynamique,,,,,Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Adaptatifs | Audi Digital Matrix LED HD,17 haut-parleurs | Haut-parleurs Bang & Olufsen | MMI Navigation Plus | Commandes au volant | 730 watts,Audi Music Interface | Bluetooth | Audi smartphone interface,Tactile | 10.1 pouces,Avant | Arrière,,Laque diamantée (gris),,Cuir,Électriques | Réglage lombaire | Fonction mémoire,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,Automatique | 4 zones,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position,Anti-éblouissement  | Sans Cadre,Avant/Arrière,510 000 DT TTC,Audi Q855 TFSI Tiptronic Quattro,,,,,Pour vitres de portes arrières | Pour lunette arrière,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages | Seuil de chargement en métal,,Triangle de présignalisation,,,,,,,,,,,Soft close,,,,,,,,Noire,,Ouvrant | Panoramique,,,,,,,,,,,,,,Audi Drive Select,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',Pneumatique,,,,,,,,,,,,,,,,Aluminium | S-line,,,LED,,,,,,,,,,,,,S-line,
Disponible,SUV,3 ans,5,5,,Electrique,12CV,408CH,664nm0tr/min,,Automatique,,Intégrale,4915mm,1937mm,1619mm,569L,5.6s,200KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,,,Progressive,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Audi Matrix LED,Haut-parleurs Bang & Olufsen | MMI Navigation Plus | 16 haut-parleurs,USB | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,10.1 pouces | Tactile avec retour haptique,Avant | Arrière,,Style aluminium | Inserts décoratifs en frêne Gris Volcan Naturel,,Cuir/similicuir,Électriques | Réglage lombaire | Fonction mémoire,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Mémoire de position,Anti-éblouissement  | Sans Cadre,Avant/Arrière,299 000 DT TTC,Audi Q8 E-tron55 e-quattro Advanced Line,,,,,,,,,Ouverture et fermeture motorisée | Cache Bagages,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,Soft close,2,582km,,,,,,,,Panoramique | En verre,,,,,,,,,Pack brillance,,,,,,,Accès mains libres,,11.5heures,Audi Virtual Cockpit | 12.3'',Adaptive air suspension,114kWh,,,Noir | Tissu,,,,,Éléctrique,,Similicuir,,,,,Aluminium | Eclairés,,,LED | 30 Couleurs,1 prise 12 V,,,,31minutes,,,,,Aluminium,22.3kWh/100 km,,Advanced,
Disponible,SUV,3 ans,5,5,,Electrique,12CV,408CH,664nm0tr/min,,Automatique,,Intégrale,4915mm,1937mm,1619mm,569L,5.6s,200KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,,,Progressive,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Audi Matrix LED,Haut-parleurs Bang & Olufsen | MMI Navigation Plus | 16 haut-parleurs,USB | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,10.1 pouces | Tactile avec retour haptique,Avant | Arrière,,Style aluminium | Inserts décoratifs en aluminium Mat Brossé Foncé,,Cuir | Valcona,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Avec Appuie-tête intégrés | Sport,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Virtuels,Anti-éblouissement  | Sans Cadre,Avant/Arrière,349 000 DT TTC,Audi Q8 Sportback e-tron 55 e-quattro s-line,,,,,,,Étriers rouges,,Ouverture et fermeture motorisée | Cache Bagages,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,Soft close,2,582km,,,,,,,,Panoramique | En verre,,,,,Acier inoxydable brossé,,,,Pack style Noir,,,,,,,Accès mains libres,,11.5heures,Audi Virtual Cockpit | 12.3'',Sport | Adaptive air suspension,114kWh,,,Noir | Tissu,,,,,Éléctrique,,Similicuir,,,,,Aluminium | Eclairés | S-line,,,LED | 30 Couleurs,1 prise 12 V,,,,31minutes,,,,,Noires,22.3kWh/100 km,,S-line,
Sur arrivage,Berline,3 ans,5,4,,Electrique,37CV,476CH,630nm0tr/min,,Automatique,2,Intégrale,4990mm,1960mm,1410mm,405L,4.1s,245KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,,,Electromécanique,Adaptatif,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Audi Digital Matrix LED HD,Haut-parleurs Bang & Olufsen | MMI Navigation Plus | 16 haut-parleurs | Subwoofer,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Audi smartphone interface,10.1 pouces | Tactile avec retour haptique,Avant,,Style aluminium | Inserts décoratifs en Carbone Sergé Satiné,,Cuir perforé | Surpiqures,Électriques | Ventilés | Réglage lombaire | Fonction mémoire | Avec Appuie-tête intégrés | Sport,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Chauffant | Multi-fonctions | à méplat | Réglage électrique | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Mémoire de position,Anti-éblouissement  | Sans Cadre,Avant/Arrière,390 000 DT TTC,Audi E-tron GTQuattro,,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,2,487km,,,,,,,,Panoramique | En verre,530CH,,,,,,,,,,,,,,,Accès mains libres,,4.5heures,Audi Virtual Cockpit | 12.3'',Adaptive air suspension,93kWh,,,Noir,,,,,,,Cuir,,,,,Aluminium | Eclairés,,,30 Couleurs,1 prise 12 V,,,,60minutes,,,,,,18.8kWh/100 km,85L,,
Disponible,Monospace,5 ans (2+3),5,5,3,Essence,9CV,156CH,240nm1500tr/min,1499CM³,Automatique,6,Traction,4386mm,1824mm,1576mm,470L,8.1s,221KM/H,7.1L/100 km,5.2L/100 km,5.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,TCS,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Parkassist | Park distance control,AFU,,Servotronic,,,,,Feux de jour | Avant,En aluminium | 17'',,Full LED | Adaptatifs,Commandes au volant,USB | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.7 pouces,Avant,,Aluminium Hexacube foncé,Cuir,Mokka | Sensatec perforé,Conducteur à réglage électrique | Chauffants | Fonction mémoire | Sport,Conducteur et passager,Velours,Lunette et vitres arrières sur-teintées | Calorifuges,Cuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position,Anti-éblouissement,Avant/Arrière,197 800 DT TTC,BMW Série 2 Active Tourer218i  Luxury Line BVA,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,,,Ouvrant | Panoramique | En verre,,,,,,,,,Alu satiné,,,,,,,Accès mains libres,,,Live Cockpit Professional | 10.25'',,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,Alu satiné,,,,
Disponible,Berline,5 ans (2+3),5,4,6,Essence | Hybride léger,26CV,381CH,540nm1840tr/min,2998CM³,Automatique,8,Propulsion,5391mm,1950mm,1544mm,540L,5.4s,250KM/H,,,7.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Parkassist,,,Électrique,,,LED,,Feux de jour | Arrières,En aluminium | 20'',,Cristal BMW Iconic Glow,Commandes au volant | Bowers & Wilkins | 29 haut-parleurs,Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Commande gestuelle,Avec fonction TV | Ecrans à l'arrière,Executive Lounge,,Bois | Fineline | Laqué Piano Noir | CraftedClarity,Cuir,Cuir | Merino | Amarone,Électriques | Chauffants | Massants | Ventilés,Conducteur et passager,,Calorifuges,Cuir | Chauffant | Sport,En hauteur et en profondeur,,Automatique | 4 zones,À distance,,,Électriques,Anti-éblouissement,Avant/Arrière,782 900 DT TTC,BMW Série 7740i Launch Edition,,,,,Pour lunette arrière (électrique) | Pour vitres de portes arrières,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,Soft close,,,,,,,,Avec signature lumineuse LED | BMW Iconic Glow,,Ouvrant | Panoramique | En verre | Sky Lounge,,,,,,,,,,,,,,,,Accès mains libres,,,Live Cockpit Professional,,,,,M anthracite,,,,,,,Cuir,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,5 ans (2+3),5,5,,Electrique,8CV,286CH,400nm0tr/min,,Automatique,1,Intégrale,4734mm,1891mm,1668mm,490L,6.8s,180KM/H,,,,,Frontaux | Latéraux | Genoux | Protège-tête,,,,DTC | DSC,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,AFU,,Servotronic,Avec fonction freinage,,,,Feux de jour | Avant | Arrières,En aluminium | 20'' | Bi-ton,,Adaptatifs | LED,Harman/Kardon | Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Commande gestuelle,Tactile | 12.3 pouces,Avant,,Noir brillant,,Cuir,Conducteur à réglage électrique | Chauffants | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Velours,Calorifuges | Acoustiques,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables,Anti-éblouissement,Avant/Arrière,284 900 DT TTC,BMW iX3M Sport,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,1,461km,,,,,,,,Ouvrant | Panoramique | En verre,,,,,,,,,Alu satiné,,,,,,,Accès mains libres,,8.25heures,12.3'' | Live Cockpit Professional,,73.9kWh,,,M anthracite,,,,,Éléctrique,,Sensatec,,,,,,,,,1 prise 12 V,,,,31minutes,,,,,M Shadow Line à haute brillance,17.6kWh/100 km,,Pack Sport M,
Disponible,SUV,5 ans (2+3),5,5,,Electrique,11CV,326CH,630nm0tr/min,,Automatique,1,Intégrale,4953mm,1967mm,1695mm,500L,6.2s,200KM/H,,,,,Frontaux | Latéraux | Protège-tête,,,,DSC,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Park distance control,,,Servotronic,Avec fonction freinage,,,Pare-chocs | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 21'' | Bi-ton,,BMW Laserlight | LED,Harman/Kardon | Commandes au volant,USB-C | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 14.9 pouces,Avant | Arrière,,Clear & Bold,,Cuir | Amido,Électriques | Chauffants | Ventilés,Conducteur et passager,Velours,Calorifuges,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Électriques | Rabattables,Anti-éblouissement,Avant,424 900 DT TTC,BMW iXxDrive40 Pack Sport,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,Soft close,1,382km,,,,,,,,Ouvrant | Panoramique | Sky Lounge,,,,,,,,,Alu satiné,,,,,,,Accès mains libres,,7.5heures,12.3'' | Live Cockpit Professional,Pneumatique | Adaptative,74.1kWh,,,Anthracite,,,,,Éléctrique,,,,,,,,,,,1 prise 12 V,,,,31minutes,,,,,,19.4kWh/100 km,,Sport | Titanbronze,
Disponible,SUV,5 ans ou 100000 km,7,5,4,Essence,11CV,189CH,320nm1750tr/min,1999CM³,Automatique,6,Traction,4870mm,1940mm,1720mm,940L,9.9s,180KM/H,,,8.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Système de caméras 360,AFU |  Freinage automatique anti-collision | Alerte Risque Colision,,,Cruise control,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 20'',,Full LED | Directionnels,9 haut-parleurs | Commandes au volant,4 USB | AUX | Bluetooth | Wifi,Tactile | 12.8 pouces | Rotatif,Avant | Arrière,3,,Cuir,Cuir,Électriques | Chauffants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,,Parebrise athermique,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone | Ventilation arrière,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED,Anti-éblouissement,Avant/Arrière,143 900 DT TTC,BYD Tang2.0 L  Supreme BVA,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres,,,,,,,,,,,,,,,,,,,,,Chromée,,Ouvrant | Panoramique,,,,,,,,,Chrome,,,,,Confort | Sport | Eco,,Accès mains libres | Démarrage à distance,,,12.3'',,,,,,,,,,Éléctrique,,Cuir,,,,,,,,LED,,,,,,,,,,,,,,Doubles
Disponible,Utilitaire,1 an,2,3 | 2 portes latérales coulissantes,4,Essence,6CV,92CH,113nm4800tr/min,1243CM³,Manuelle,5,Propulsion,3980mm,1620mm,1890mm,,N.C,120KM/H,,,7.4L/100 km,,Frontaux,,,,,,,,EPS,,,,,,14'',,,,AUX,,,,,,Tissu,,,,,,,,Manuelle,À distance,,,,,Avant,39 900 DT TTC,Changan New Star Van1.2 L,,,,,,,,,,,,,,,,,,620KG,,,,,,,,,,3.5m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Pick up,1 an,5,4,4,Essence,7CV,98CH,119nmN.Ctr/min,1243CM³,Manuelle,5,Propulsion,4660mm,1645mm,1890mm,,N.C,120KM/H,,,7.4L/100 km,,Frontaux,,,,,,,,,,,,,,14'',,,,AUX,,,,,,Tissu,,,,,,,,Manuelle,,,,,,Avant,49 900 DT TTC,Changan Star Truck Double Cabine1.2 L,,,,,,,,,,,,,,,,,,965KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Pick up,3 ans ou 100.000 KM,5,4,4,Diesel,6CV,150CH,350nm1800tr/min,1910CM³,Manuelle,6,Intégrale,5330mm,1930mm,1835mm,,15.8s,171KM/H,,,8L/100 km,,Frontaux | Latéraux,,,,ESP,Radar de recul | Caméra de recul,EBD,,,,,,Pare-chocs | Rétroviseurs,Feux de jour,En aluminium | 17'',,,6 haut-parleurs | Commandes au volant,3 USB | Bluetooth,Tactile | 10 pouces,Avant | Arrière,,,,Cuir,Électriques | Réglage lombaire,Conducteur,,,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Ventilation arrière,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,123 046 DT TTC,Changan Hunter1.9 L Turbo Diesel 4x4,,,,,,,,,,,,,,Chromées,,,,980KG,,,,,,,,,,,HAC,Chromée,,,,,,,,,,,,,,,,,Arrière,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,HDC,,,,,,,,,,,,
Sous réserve d'acceptation du dossier par le ministère du commerce | En pré-commande,SUV,3 ans ou 100.000 KM,5,5,3,Essence,4CV,70CH,117nm1500tr/min,998CM³,Manuelle,5,Traction,4200mm,1760mm,1570mm,420L,15.3s,170KM/H,,,5.9L/100 km,,Frontaux,,,,ESP,Radar de recul,EBA | EBD,,,,,,Poignées de portes | Rétroviseurs,Feux de jour | Arrières,En aluminium | 16'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 9 pouces,Avant,,,,Tissu,,Conducteur,,,Multi-fonctions | à méplat,En hauteur,,Manuelle,À distance,Ecran TFT 3.5'',,Électriques | Avec clignotants intégrés,,Avant/Arrière,34 068 DT TTC,Chery Tiggo 1X populaire1.0 L Turbo,,,,,,,,,,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,HAC,Chromée | Noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,HDC,,,,,,,,Aluminium,,,,
Sur arrivage,SUV,7 ans ou 200000 km,5,5,4,Essence,9CV,147CH,210nm1750tr/min,1498CM³,Automatique,9,Traction,4500mm,1842mm,1705mm,475L,"9,7s",185KM/H,,,7.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Système de caméras 360,EBA | EBD,,EPS,,,,Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 18'',,Full LED,6 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.1 pouces,Avant | Arrière,3,,Cuir,Cuir perforé,Conducteur à réglage électrique | 6 directions | Réglage lombaire | Passager partiellement électrique,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | à méplat,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,99 580 DT TTC,Chery Tiggo 7 Pro1.5 T CVT,Métallisée,,,,,Porte-lunettes,,,Ouverture et fermeture motorisée | Ouverture mains libres | Ouverture à distance,,,,,,,,,,,,,,,,,,,,,Chromée,,Ouvrant | Panoramique,,,,,,,,,Chrome,,,,,Sport | Eco,,Accès mains libres | Démarrage à distance,,,7 pouces,,,,,,,,,,Éléctrique,,,,,,,,,,,,HDC,,,,,,,,,,,,
Disponible,SUV,7 ans ou 200000 km,7,5,4,Essence,9CV,147CH,210nm1750tr/min,1498CM³,Automatique,6,Traction,4700mm,1860mm,1705mm,889L,N.C,190KM/H,,,7.3L/100 km,,Frontaux | Latéraux | Rideaux,,TPMS,,ESP,Radar de recul | Radar avant | Système de caméras 360,EBA | EBD,,Électrique,,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant | Réfrigéré | Arrière,,,,Cuir perforé,Conducteur à réglage électrique | 4 directions | Chauffants,,,,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone | Ventilation arrière,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,109 880 DT TTC,Chery Tiggo 81.5 T DCT Luxury,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,,,,,,,,,,,,,,,,,,,,Chromée | Noire,,Ouvrant | Panoramique,,,,,,,,,Chrome,,,,,Sport | Eco,,Accès mains libres | Démarrage à distance,,,7 pouces,,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,Chromées,,,,
Disponible,SUV,5 ans,7,5,4,Essence,11CV,197CH,290nm2000tr/min,1598CM³,Automatique,7,Traction,4722mm,1860mm,1705mm,889L,8.9s,185KM/H,8.6L/100 km,6.2L/100 km,7L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,EBA | EBD,,Électrique,,,,Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 18'',,Full LED,6 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,3,,Cuir,Cuir perforé,Conducteur à réglage électrique | 6 directions | Réglage lombaire,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | à méplat | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone | Ventilation arrière,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés | Éclairage d'accueil à LED,Anti-éblouissement,Avant/Arrière,129 590 DT TTC,Chery Tiggo 8 Pro1.6 T-GDI 7-DCT,Métallisée,,,,,Porte-lunettes,,,Ouverture et fermeture motorisée | Ouverture mains libres | Ouverture à distance,,,,,,,,,,,,,,,,,,,,HAC,Chromée,,Ouvrant | Panoramique,,,,,,1930L,,,Chrome,,,,,Normal | Sport | Eco,,Accès mains libres,,,12.3'',,,,,,,,,,Éléctrique,,,,,,,,,,,,HDC,,,,,,,,,,,,
Disponible,Citadine,2 ans,5,5,4,Essence,6CV,100CH,130nm4000tr/min,1398CM³,Automatique,6,Traction,4039mm,1735mm,1517mm,289L,12.7s,171KM/H,8.8L/100 km,5.1L/100 km,6.5L/100 km,,Frontaux | Latéraux,,,,,Radar de recul,,,,,,,Poignées de portes,Feux de jour,15'',,,6 haut-parleurs | Commandes au volant,2 USB | Android Auto | Bluetooth,Tactile,,,,,Tissu,,Conducteur,,,,En hauteur,,Manuelle,À distance,,,Électriques,,Avant/Arrière,54 778 DT TTC,Chevrolet Sonic1.4 L   BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ouvrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,2 ans,5,5,4,Essence,6CV,106CH,140nm3600tr/min,1485CM³,Automatique,,Traction,4220mm,1740mm,1615mm,320L,13.2s,160KM/H,,,7.3L/100 km,,Frontaux | Latéraux,,TPMS,,ESC | ESP,Radar de recul | Caméra de recul,EBD,,Électrique,,,,,Feux de jour | Avant | Arrières,En aluminium | 16'',,,6 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant,,,Cuir,Tissu | Surpiqures,Conducteur à réglage électrique | 4 directions,Conducteur,,Teintées,Cuir | 3 branches,En hauteur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,89 825 DT TTC,Chevrolet Groove1.5 L Premier,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,Chromée,,Ouvrant | Panoramique,,,,,,,,,,,,,,Sport | Eco,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
